Weight (pounds),Height (inches)
119.5261,67.67479
116.9965,69.04155
138.5255,67.96765
109.6518,65.83982
130.1569,65.77288
137.1114,71.14106
113.759,67.83055
114.9725,65.0693
127.7149,69.70745
121.9972,69.92983
117.9607,66.11569
127.7141,68.61364
117.9619,68.9976
125.1554,66.79171
141.1026,68.02363
145.4822,69.67258
116.065,71.82178
135.7458,72.74676
132.9248,67.27951
115.6622,67.41015
114.3184,68.5315
148.952,68.47126
142.1878,68.51867
134.104,63.72529
141.8926,67.70483
138.7444,69.47115
134.449,66.70198
117.0167,65.23126
115.6752,69.89473
134.7905,69.83048
120.5746,65.3979
120.0835,68.32214
84.3598,65.93895
138.9394,70.09805
143.5245,66.05531
123.1347,68.23481
115.5261,65.21758
120.9844,69.16173
120.6473,67.60064
124.0352,67.28621
117.2238,66.84323
127.9598,68.08281
116.7527,66.56991
121.9957,70.16973
123.9952,67.85113
108.855,66.62309
104.6574,63.68816
132.248,68.0356
127.1834,66.941
125.1209,66.26292
133.322,70.7301
122.3364,70.70844
130.2636,73.26872
116.7431,63.79021
125.8534,67.84109
100.627,67.78058
118.4945,67.23901
137.1255,66.75701
118.6991,69.03098
124.1641,68.52652
124.9442,64.65419
126.3889,65.14295
121.5255,66.74124
133.2951,66.99923
127.4072,70.26611
125.08,67.57666
102.8114,66.30582
134.2212,68.90702
100.9758,65.60543
145.8886,68.00189
155.3046,69.93715
138.7175,70.1459
116.2611,66.66364
120.6087,69.40676
114.4083,66.80598
133.3406,67.70048
92.74955,69.13438
131.7825,67.53769
118.3865,65.77912
131.1466,66.25769
130.2033,67.39038
129.1836,64.94327
143.1445,69.25699
138.7307,69.07739
130.9528,69.64403
124.3032,69.07705
135.3702,68.01304
124.1988,68.85664
111.2389,63.19158
129.4037,65.57591
127.7444,69.12101
121.3311,69.78765
118.2183,67.48203
123.3441,69.08809
151.9118,68.5529
115.3108,68.21327
122.3844,67.1012
129.2323,71.23661
138.2824,69.11946
144.0565,65.49848
120.8482,66.58706
113.3034,67.99831
149.3227,72.57747
130.6373,67.97585
122.387,66.62347
133.8677,67.29574
134.8336,65.95951
137.8363,66.54011
112.6812,68.07723
121.1964,65.83291
114.9262,69.23721
110.3762,64.69413
126.0337,69.21372
118.7008,67.16792
119.3108,67.8467
150.7397,69.27389
121.1142,67.90547
118.4065,67.076
142.759,70.01531
145.6305,70.05454
127.3425,70.86714
115.9678,66.0586
104.4441,65.23745
138.4905,68.7413
145.5049,69.51946
124.4065,70.30764
124.1866,67.29982
126.1659,67.60582
138.8125,67.85566
121.5515,66.46536
114.2555,68.92071
129.4022,68.46886
137.5583,69.5193
134.4996,70.23956
127.7103,67.85651
115.6709,68.00435
131.5906,67.13983
127.5839,68.09931
125.7211,68.99077
119.9885,69.32618
140.8676,70.09286
136.9164,68.74304
118.4759,64.18633
129.5516,66.09074
152.0714,69.24418
120.8646,69.66512
136.1027,68.42721
130.0611,68.28613
131.7743,69.37684
139.38,68.35315
168.229,72.32489
127.6446,70.37159
131.8008,65.72927
122.8561,66.49627
140.2133,70.81339
142.6929,67.37579
137.4299,67.79709
126.0392,68.1607
143.5985,68.85782
122.62,67.71342
108.6044,64.66007
100.6617,65.73721
116.1397,68.42441
140.5293,68.88946
125.6907,68.27367
134.3329,69.18045
136.4649,72.60996
127.8822,66.04157
123.1361,69.2288
116.3375,68.87697
124.5581,66.46042
125.7853,69.30444
107.5905,67.58249
143.0236,69.41816
118.7434,67.46867
118.9856,66.44873
131.8744,68.76185
119.3691,63.76881
126.1223,69.03663
126.6122,66.48966
113.5597,66.74224
115.8413,67.69394
130.2738,66.69066
125.4542,67.02877
117.1655,65.91096
137.3184,70.0304
149.4447,69.26978
151.0695,70.07695
116.9994,64.90942
138.1787,69.68744
127.621,67.56524
120.7514,63.85529
144.2537,71.6189
105.7939,64.98993
120.1567,64.60759
109.0848,62.01666
125.971,65.28516
110.2325,67.70163
134.4706,70.85794
115.5067,68.17075
125.1086,67.45006
116.4113,71.04224
133.3944,67.83032
108.7478,67.15488
134.3986,68.30289
131.2085,65.41208
130.8318,68.66755
127.0838,70.06733
119.4067,69.13413
105.5616,67.02078
134.4733,65.52274
132.6897,70.19808
126.058,67.66866
126.3532,69.73257
142.3603,67.61719
124.5873,70.79589
122.3604,69.65804
123.2298,66.73277
131.4049,67.58008
124.3037,65.25317
128.3836,70.71387
136.853,71.27374
118.0569,66.55913
121.4969,68.04247
119.2811,68.11699
126.5545,71.2367
129.2477,66.92387
134.7804,71.10381
146.0725,69.41466
162.4109,69.16807
130.1885,68.57725
132.1941,69.60315
127.4591,69.05087
125.3466,68.28699
134.7559,69.25276
121.9395,68.23862
125.6688,67.6868
145.956,68.84083
119.9207,69.52061
111.5093,66.97668
138.676,72.0053
135.0151,67.44482
116.509,66.06214
123.9575,65.5747
136.952,68.30171
153.0797,71.02603
126.357,70.76882
145.0614,67.50812
135.1739,69.50936
108.806,66.4455
110.5155,68.5689
138.2685,67.01296
119.5111,68.70004
115.3214,68.23013
132.3684,70.40713
93.99438,65.69989
127.4051,65.7031
134.3024,68.48055
124.9721,66.62891
124.072,66.84285
133.5476,69.89734
134.1509,67.6543
130.2489,68.30917
138.0935,69.74848
126.6064,68.57906
131.8076,68.14477
131.7363,67.98093
117.6261,64.82535
126.1943,69.20785
127.5132,69.2656
142.4785,70.9403
139.444,69.07826
110.3204,66.20183
131.9541,71.05779
129.2037,68.99493
124.3513,70.96089
126.5251,66.02496
149.2303,69.8641
142.1577,66.82802
127.1436,69.09424
122.3353,66.81425
112.6659,67.13183
134.2647,64.57428
120.6936,68.68038
115.783,67.53724
128.6855,71.17732
134.7611,70.53514
118.3419,71.53411
106.1557,66.77301
126.3823,66.33636
114.3716,64.83095
130.2787,68.38247
123.3066,68.05038
122.8571,69.09149
125.6932,69.91046
111.7247,68.40737
125.5516,68.32559
119.9702,66.95555
132.6043,70.54816
132.6738,69.37805
117.4521,67.52012
101.8549,64.87142
128.4418,69.13396
134.0414,68.81192
127.7511,67.56446
127.6172,68.16772
139.3971,65.80687
113.9381,64.92276
147.5188,68.35584
132.6523,66.71546
132.8139,69.18196
105.0942,65.88795
127.5187,66.03733
130.7305,69.44194
128.5815,67.14847
122.5699,65.69442
157.2961,69.42723
121.1097,66.54503
147.5061,69.04469
117.493,67.62036
132.4472,69.59105
118.1774,68.12343
123.7319,71.22641
130.365,66.43285
122.8882,66.31808
107.8693,68.02724
118.591,68.2876
125.6467,66.91609
148.6016,71.77546
150.279,66.04535
127.0678,69.01455
128.7122,68.70744
118.4233,65.012
125.3879,66.05857
149.2676,71.16403
107.3484,67.55274
133.6992,68.83455
124.8508,68.11811
112.7028,67.90528
127.8407,67.64085
134.1615,69.78282
138.6031,67.99889
126.044,69.41465
129.5856,70.42989
134.1054,67.67519
106.1251,67.88036
127.0561,68.06905
121.9241,66.99435
150.7365,71.57689
116.0061,64.36564
125.4748,67.93011
131.6099,69.91863
129.0696,69.93864
129.1117,66.79766
148.1624,70.11119
105.388,68.94814
110.5447,68.02886
118.6402,69.36148
122.8151,68.44886
124.887,65.70282
135.7695,69.55674
116.4563,65.84635
125.3617,68.79983
133.122,69.03835
138.3328,67.36352
124.4972,70.35788
136.7205,69.88828
115.0153,65.15319
132.6366,69.40907
143.1323,68.50874
134.7422,65.71552
122.6246,63.98308
153.5634,70.07685
126.289,68.42542
134.7206,68.23665
134.5987,67.82856
118.3945,66.31277
121.2997,69.75128
132.2844,65.70901
139.0617,66.88227
110.698,67.2791
154.1073,70.63357
124.1592,69.9377
134.5173,65.87671
138.2622,72.44694
149.0801,70.07052
127.0075,67.68486
117.8222,66.1151
148.9096,69.94355
128.2151,68.24317
129.6944,68.80144
125.5674,66.61818
128.7947,70.18701
124.187,65.58971
151.4167,68.69566
106.9803,64.88639
145.6221,69.81993
121.5926,66.33962
130.9386,70.4434
135.6203,69.99163
123.9315,70.13617
131.9955,67.1793
117.484,68.2034
129.6577,67.76121
122.3706,64.79753
114.5867,66.47871
116.5401,66.98337
139.4307,65.69991
123.4822,66.82705
132.5492,66.35141
143.4013,70.13491
132.9429,70.11565
98.8972,64.56145
122.4342,68.15724
104.6767,67.1475
142.7847,70.88927
130.9283,68.16218
143.827,71.19657
142.2832,67.92444
107.9441,65.30204
105.6891,66.40756
125.4007,71.30647
106.4195,69.05997
118.5371,65.95442
136.7836,69.63776
145.9328,71.10495
129.637,66.21851
108.4955,66.13469
121.2537,67.7851
135.7399,66.67737
137.5026,69.99408
124.0052,71.1441
128.8613,68.63927
133.6811,69.08548
106.5185,67.97389
113.0398,65.94809
125.9639,66.02102
140.2945,71.23576
143.229,67.52674
145.8063,71.06935
128.1697,68.27178
134.1839,67.31932
140.2166,68.98848
146.3453,68.404
132.0784,67.092
122.13,66.76866
131.4693,65.64636
129.5167,65.34105
125.7451,68.18299
153.1384,70.65924
124.5559,65.94401
134.8225,69.62792
115.3877,68.29965
117.9618,70.06075
124.5647,68.43602
134.4043,69.27012
129.3092,67.70511
133.1423,70.89315
147.3609,70.54313
155.0132,71.58086
126.2905,68.42301
134.4605,69.35781
134.0296,70.445
128.9248,67.38153
123.0543,67.50767
112.1788,68.52054
111.7443,66.80858
148.4615,72.38532
136.7459,68.51642
133.2068,70.79791
116.8855,66.21905
124.8542,68.31167
121.5809,67.1715
123.197,67.7714
137.1255,67.47328
121.4941,67.77463
150.9398,69.20099
142.3009,70.04297
134.7527,70.56979
133.5585,66.45379
136.0895,67.68132
95.20216,65.75638
119.7404,69.3549
152.9146,70.5902
140.1991,67.27626
145.2503,68.48853
119.4855,67.02188
123.512,65.77613
110.6754,65.96579
111.4951,68.18868
139.4849,72.08595
133.088,66.85358
133.5196,69.10929
112.7698,64.5909
124.7975,67.03849
123.4224,68.99156
142.0921,70.59872
116.2814,70.08988
131.1256,65.6844
131.2493,67.0982
127.2422,66.03932
122.4523,69.26423
115.2431,66.61351
126.9532,68.11738
143.4439,69.73059
125.377,64.02042
109.0095,66.23753
139.2411,72.46761
102.182,66.21938
144.3898,71.2978
83.08527,63.1255
145.3938,70.93034
134.9267,68.25489
134.678,64.78014
111.4963,65.42982
119.7951,68.91361
95.70426,64.96937
117.159,66.15237
127.2356,65.98386
144.9205,69.2435
122.8464,68.31982
134.19,70.11607
124.9776,68.63521
135.8441,67.74289
120.8222,64.58641
125.0174,64.66165
133.5474,65.90771
124.5583,65.77649
135.9691,67.1506
143.5738,72.24339
130.5725,68.73199
127.192,67.57019
141.2372,70.36234
107.4236,63.62233
122.3234,66.20711
111.6055,66.22114
137.8915,70.0722
142.8742,69.6563
114.4349,66.25043
128.2736,68.0704
134.5725,67.14808
140.1034,68.76609
121.977,68.12075
111.4248,65.72987
135.0756,69.17439
132.9826,70.36351
117.7566,70.78557
134.9877,70.88083
151.6121,66.62148
128.9287,69.9829
120.1575,66.92866
125.6007,71.45806
127.8292,69.66344
136.1354,69.30943
116.2841,66.59775
127.0777,64.20209
125.7165,68.23051
121.0749,70.09021
122.7382,70.9755
119.4545,64.93134
132.9048,66.90106
132.8687,69.19803
124.3486,68.4149
132.2198,66.3163
142.804,72.13467
129.605,65.74613
128.5326,69.96677
112.9919,65.11417
122.0795,67.43294
118.396,66.39785
130.1299,67.18769
111.6824,67.68597
142.2452,67.77469
122.6049,63.62937
122.8198,66.447
119.1123,71.9233
139.4335,67.92214
141.3353,68.01143
119.787,67.76524
136.326,69.19791
118.4099,67.00109
137.692,67.09659
129.078,69.85144
123.4642,67.42782
115.4311,68.1104
129.931,68.29433
135.9563,69.45176
127.8134,69.08219
139.1014,70.91753
109.2132,64.20566
124.6154,71.10315
136.221,72.08523
120.4722,66.15119
116.1659,67.52898
115.5093,67.17586
141.9961,72.92955
135.4869,65.54112
135.1305,69.08487
108.2494,65.28991
125.1277,68.53447
142.8947,71.32802
128.2978,66.88095
128.268,67.91196
103.5665,67.00238
156.1069,68.27584
104.9661,66.20276
121.6365,64.24214
132.0066,67.43738
118.4079,64.50081
135.3898,68.89607
140.6633,70.32908
111.6703,64.31742
128.0328,67.11253
130.4737,68.01206
128.2127,68.25267
142.8202,67.76873
123.0804,67.44291
117.8771,65.73581
130.9274,69.64372
129.1735,71.92818
144.5784,69.39435
115.8635,67.14717
116.5322,69.1469
141.9947,66.90594
132.1304,67.838
135.2607,68.09614
127.0684,66.14093
129.844,71.16386
134.5066,67.55757
121.3609,70.01279
143.1486,72.56431
124.7741,66.60224
120.1546,68.51802
139.4163,66.34638
131.6743,69.02692
131.07,69.12446
129.8914,68.24578
123.344,68.4869
137.5314,70.68261
136.8886,70.35969
118.4024,67.62401
116.2441,69.4463
124.8433,67.92486
120.9809,68.39347
105.1208,66.31812
145.4377,71.22882
108.1912,65.29169
130.3778,66.00287
117.5157,67.61775
135.8762,69.10276
127.5126,68.99743
151.3998,69.07531
112.4799,68.34086
156.7554,71.68196
138.2098,68.77664
109.5685,66.18191
139.9742,72.37092
124.5873,66.85155
130.5023,65.75688
151.0783,69.69245
108.7722,66.27915
105.9927,66.47752
143.4301,68.71912
114.7434,68.29244
123.7736,67.66696
139.4769,71.29885
115.8201,67.07369
146.5682,70.68048
153.9993,71.40114
137.5899,71.00392
125.9287,66.2799
139.6939,68.05383
126.3585,64.16346
113.9307,66.87966
129.7605,70.52968
116.1925,65.45595
139.1294,69.11331
126.9815,67.94221
125.8352,67.2132
113.524,67.6372
123.2372,70.09365
123.0554,64.41354
128.133,69.77698
127.9357,66.58181
110.4678,68.14995
127.9364,66.18165
118.1678,66.79412
129.7243,67.1657
130.6094,68.01904
105.0414,66.95837
122.6299,68.70397
138.3259,69.68057
107.7381,66.52793
141.4417,66.46981
153.6966,71.44643
134.5551,66.62648
109.6593,64.01015
117.2029,65.03312
124.2843,66.77216
125.2193,68.91932
133.2256,71.22926
122.6042,71.10332
134.8652,69.80699
111.4506,67.09127
116.8458,67.27958
143.1527,71.86593
99.92383,67.20197
127.9232,68.44108
136.658,67.20278
145.3947,69.36588
126.6818,69.0416
128.1983,65.9056
122.8328,66.44766
133.2571,66.08009
116.7606,69.35367
144.0455,70.83359
132.5153,67.664
123.9832,65.30966
113.1423,66.66817
123.9512,66.93271
133.9787,67.73938
128.1519,64.27722
121.2878,66.83442
122.7107,65.89728
125.4136,67.6564
124.8761,68.68966
116.5903,66.08003
129.889,66.91344
123.889,69.48392
137.6571,68.60001
130.8805,69.21225
141.9706,67.63342
125.7334,65.73405
104.4108,66.09947
117.0685,67.65293
131.7669,67.59619
125.4738,69.57859
129.5734,66.08879
130.1053,70.08026
131.9305,65.00956
142.4645,69.16464
127.6431,69.61276
153.3153,71.48367
126.7609,69.47413
114.0258,69.0027
133.9684,69.5581
127.5869,68.63746
126.4859,67.20262
120.7651,66.07614
126.6479,66.18342
133.0747,70.80778
125.9649,67.158
121.3206,65.2973
129.7824,69.23494
130.0549,68.90768
123.4005,72.3478
137.2791,68.29557
127.7554,68.34735
133.6853,67.46476
113.9275,68.86803
135.6168,66.62471
122.6005,64.77193
118.9472,67.70647
134.2703,72.992
124.2747,70.95194
130.6981,67.95677
124.6797,67.20959
129.0839,66.36959
121.9456,67.63896
126.2689,69.74444
134.6122,68.17532
131.8476,66.89711
103.5828,67.4966
116.3925,66.51569
123.5095,66.88332
150.3395,69.7277
135.2437,69.78345
112.4584,65.40046
137.4861,67.99831
132.7902,72.25581
126.0286,70.79562
141.3591,65.18786
135.9065,67.7123
134.6655,70.05146
122.0232,67.30497
128.3502,66.39813
130.6354,69.73637
131.717,68.71659
108.6132,63.88437
114.5673,68.40851
133.5136,67.93251
135.8641,70.69674
148.1093,68.95083
123.5179,66.49457
120.8406,68.59369
116.2666,66.26442
123.8986,69.58656
119.32,67.35651
119.4097,69.68727
124.5933,68.44046
130.8802,68.47973
118.2058,65.45463
109.6357,66.8085
140.2298,70.05212
121.5764,67.43558
98.30262,66.54306
117.6173,67.32353
136.5104,67.9725
148.9791,69.03858
123.9665,67.69453
133.5957,69.30508
117.2334,65.39643
123.5943,68.35638
117.7674,65.36888
137.2321,68.36499
129.1996,71.15702
142.4032,69.25532
128.4838,66.6984
115.3008,69.17548
119.5309,68.31559
121.7224,67.81616
142.8442,68.56123
110.1171,66.23085
122.0958,68.95099
124.8188,67.86761
119.3169,68.05498
132.4571,67.73986
133.0316,69.83641
160.8831,70.68574
119.127,64.54385
138.516,67.93112
124.8232,67.77291
135.9744,69.41312
116.2254,67.77213
139.2002,67.79965
137.983,67.98313
144.5084,69.97983
109.1938,63.83261
127.228,65.57212
124.5517,69.34307
114.926,67.28398
132.5027,68.7435
125.3892,69.03112
128.4988,69.64426
117.7319,66.70052
112.9531,67.9143
126.1835,64.36849
118.7934,65.87507
125.4388,67.07427
124.9451,69.34545
145.5139,69.83212
116.7836,66.10245
132.5216,69.26205
114.8933,68.33525
122.8594,69.38017
130.5782,69.12887
119.1058,68.44658
133.8204,66.34542
128.5779,70.03275
139.0179,70.16523
101.2876,68.18324
140.958,70.12378
134.6146,68.4296
129.9482,66.43974
139.064,71.72703
135.1996,70.72387
129.682,68.09022
129.1395,70.12976
129.0051,66.05393
112.7357,69.77059
126.1123,68.15816
118.3724,69.91372
122.9731,65.34461
130.3663,68.35621
114.226,64.50585
115.7854,67.95491
137.9526,68.57621
112.2435,68.12257
137.237,68.77583
124.9418,67.92593
135.0961,69.1484
114.4199,63.20539
122.1823,69.2442
129.375,65.88645
129.9448,67.85186
140.4557,65.57418
120.8977,66.70819
129.159,69.172
137.1397,69.23593
145.2218,67.57232
140.0956,69.50518
124.12,70.60288
135.6875,66.54152
127.756,69.11494
144.0475,69.951
131.9333,67.70347
135.5263,69.19028
151.3579,67.8047
124.7073,67.62532
135.274,70.36898
136.5388,71.02595
137.8778,69.8452
114.2066,67.08638
141.5844,68.62013
111.0969,64.37275
126.3868,65.93523
132.8885,65.24285
144.7904,70.51481
108.3859,66.61129
124.1348,67.13394
129.4462,66.77634
131.3339,67.69385
111.6411,67.82809
111.6422,66.63254
140.3178,67.62229
125.5286,69.66798
114.49,62.75039
113.998,64.53878
117.1931,68.01929
138.3156,66.38551
122.3712,70.18724
132.9431,64.646
124.0449,67.48819
144.1591,72.01807
115.4581,66.61356
116.5192,65.81803
139.6139,71.16185
133.2364,68.51977
120.025,64.96088
123.1111,66.88268
132.8462,70.3531
120.9359,67.71744
129.7702,66.03333
136.9118,68.9826
131.121,68.60237
133.484,66.8408
136.3871,68.03659
131.4559,64.79586
126.1986,70.55126
115.046,68.28166
130.3178,68.77574
131.6954,67.09315
135.6519,70.14303
120.3029,65.46833
129.1442,69.02275
150.2167,74.24899
120.2076,64.08575
132.153,67.57977
132.1247,69.19395
119.5029,64.48615
136.7629,68.75888
147.7846,68.45184
145.5992,66.44205
124.9662,70.1756
127.902,67.1386
125.9147,66.91548
109.6821,68.63357
107.7733,66.95697
134.1099,69.97351
134.901,66.92568
139.6364,68.76347
127.0273,67.40692
134.7717,65.74615
99.97124,65.88357
129.4522,66.77623
129.3592,66.9622
103.6594,63.46642
115.7327,68.35224
104.8874,64.43147
131.0054,63.52175
129.0709,66.86196
102.5494,65.53651
133.2257,71.82306
146.3008,68.86538
140.8125,70.79207
132.4618,69.02139
118.8437,67.3527
133.4495,66.3294
134.882,67.75792
129.6789,68.64796
136.7318,68.18784
133.9981,71.53978
128.1324,68.58959
130.2482,71.33959
130.2934,67.18757
128.3208,67.70033
134.0501,64.13048
140.5808,69.90087
115.1936,66.72044
135.8445,69.3532
142.8508,69.70788
143.0931,67.73755
114.9519,68.16879
149.4261,71.94697
132.0558,67.37481
127.0174,65.34039
103.3615,65.63768
125.3216,68.91559
130.6423,65.44571
124.3662,68.11726
140.6019,69.52284
124.229,69.40202
132.9642,70.00803
130.2067,68.59817
106.6241,64.76508
108.9888,67.52805
109.9473,66.71974
124.363,67.94808
131.5021,69.09682
137.4264,70.04724
116.0228,67.92097
117.9061,67.99135
116.7259,68.92023
115.4633,66.75149
129.9734,68.07152
148.9128,68.75961
126.0818,70.93048
115.4952,68.29873
158.7833,69.25316
141.2064,68.39327
129.838,68.48007
137.0682,69.47286
123.2428,66.33003
117.9651,66.88679
102.4998,65.20091
130.6338,68.37273
144.6224,67.10601
100.1982,62.64242
120.2937,69.06906
144.3108,71.15727
114.8805,68.93324
141.5328,68.10686
114.6963,64.45765
121.6607,65.96736
119.3241,68.73038
135.206,70.53564
115.9409,67.40711
123.2264,66.11309
133.0619,69.47433
136.3442,70.95476
124.1401,65.56715
116.2944,65.49243
133.1669,68.89342
137.941,67.59755
133.3173,66.1724
114.2219,68.70371
137.6516,65.47651
131.5375,67.72604
137.2221,70.02202
135.1331,69.72107
113.9257,67.90954
132.5883,65.61306
133.5753,71.40631
106.7793,66.27843
95.18466,65.0276
114.2675,65.68922
126.4804,66.85743
126.7087,68.23
110.9096,66.12036
132.3678,71.32591
133.7174,70.2075
144.0125,71.03619
129.9098,68.18528
106.5697,68.99195
121.9433,67.95745
118.1623,69.49971
106.6739,67.12538
128.444,67.75678
127.4595,67.67958
102.93,64.71984
127.8299,69.72873
139.7868,68.50234
133.2813,70.56446
120.2949,66.58715
102.4047,63.80202
134.2056,66.38836
121.4804,66.7895
108.2574,66.99003
145.8469,72.61998
114.9258,67.80601
124.6757,68.63913
113.619,65.81803
126.2651,66.5755
124.0382,66.40067
120.554,66.75992
124.4235,69.02475
130.1726,70.24902
137.2733,70.18308
126.9051,67.63509
118.2885,66.43547
119.6817,67.50559
134.332,68.19559
120.0364,66.32293
140.2713,70.33673
139.4025,67.9766
105.1086,66.07451
140.3289,68.00118
139.7691,65.48497
118.4896,66.99532
121.8301,69.89331
130.3482,68.03229
138.2214,70.00989
119.9847,66.91337
141.5275,71.43101
128.0746,64.42386
122.6639,68.63254
135.5841,70.14808
158.7993,69.94628
103.1971,66.40808
122.9332,65.27161
119.343,67.02796
139.5722,66.333
124.1145,70.05322
132.5483,71.49315
116.0712,67.11911
162.8737,72.52115
131.1394,68.59945
124.8745,66.72202
123.738,68.33163
119.0115,66.52804
135.4606,69.80841
139.6563,70.18855
120.3449,67.70646
113.0404,66.73552
115.658,68.37589
128.6282,68.14008
96.52385,65.33269
122.6695,68.27634
129.3968,69.17767
128.8422,66.47919
133.0853,66.27731
130.1248,67.80211
138.9119,72.66613
138.9252,70.62111
105.9085,67.45131
135.4393,68.51925
147.3129,72.05853
108.7636,64.71472
128.9625,66.49054
147.7867,71.9151
128.5716,68.37932
127.4285,69.44208
128.9123,65.67788
123.3621,67.97944
122.0501,68.18702
159.6644,67.96766
121.5022,67.69418
124.3686,66.85727
130.5608,68.50423
117.7781,66.46892
147.1473,70.53609
128.6512,68.60163
115.6854,67.13712
104.102,63.82574
122.4406,67.39413
124.6131,71.3131
100.4089,67.98003
131.8038,67.8037
134.7575,71.05584
148.5516,70.6785
151.3435,69.45454
121.4032,67.75404
132.7138,66.37759
118.1243,66.90907
120.412,67.36022
141.4458,70.03559
129.0597,74.19488
129.3121,68.44192
148.5716,68.86465
112.319,66.41874
130.0932,68.58215
123.1712,69.01529
99.36058,64.12752
139.1404,72.58824
131.9771,69.53845
127.7025,69.32255
136.8449,67.26117
126.4916,68.8089
111.1847,65.83333
128.5255,69.14631
123.1419,66.76436
141.374,68.10866
127.0178,66.52579
118.0513,66.72267
115.3536,66.66847
136.9275,66.13808
126.5685,68.04169
129.216,67.37032
142.1694,68.37927
136.578,68.64261
121.962,67.06567
146.9053,69.29222
142.657,69.97624
140.2292,68.36664
109.8398,68.2079
